250
(0.536000, 0.148270, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.544000, 0.242380, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.552000, 0.334259, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.560000, 0.423059, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.568000, 0.507964, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.576000, 0.588190, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.584000, 0.663001, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.592000, 0.731705, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.600000, 0.793671, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.608000, 0.848328, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.616000, 0.895174, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.624000, 0.933775, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.632001, 0.963777, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.640001, 0.984904, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.648001, 0.996961, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.656001, 0.999838, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.664001, 0.993506, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.672001, 0.978026, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.680001, 0.953538, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.688001, 0.920270, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.696001, 0.878527, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.704001, 0.828694, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.712001, 0.771229, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.720001, 0.706662, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.728001, 0.635588, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.736001, 0.558660, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.744001, 0.476588, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.752001, 0.390127, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.760001, 0.300072, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.768001, 0.207256, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.776001, 0.112529, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.784001, 0.016768, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.792001, -0.079149, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
(0.800001, -0.174337, 0.000000) (1.000000, 0.000000, 0.000000) (0.000000, 0.000000) 
